EXPORT FROM MATLAB: GPS_orbit_est.m 

 * Coordinates ORS (xF, yF) || Coordinates ITRF (x, y, z) || Coordinates phi, lambda, h ell
 -2181616.669149  26478382.504575        0.000000 || 17845718.828138  -16086910.566474  -11340450.576719 ||       -0.441622        -0.733612  20193863.809636 
 -2297422.288559  26469032.437682        0.000000 || 17888334.206091  -16097504.075134  -11259027.011304 ||       -0.438224        -0.732753  20194252.749689 
 -2413183.962231  26459176.063493        0.000000 || 17930646.782729  -16108052.534431  -11177388.080205 ||       -0.434823        -0.731904  20194641.780591 
 -2528899.478159  26448813.595954        0.000000 || 17972656.168774  -16118554.482710  -11095535.355769 ||       -0.431419        -0.731065  20195030.898074 
 -2644566.625443  26437945.258660        0.000000 || 18014361.985763  -16129008.457316  -11013470.414271 ||       -0.428011        -0.730235  20195420.097849 
 -2760183.194326  26426571.284847        0.000000 || 18055763.866063  -16139412.994662  -10931194.835884 ||       -0.424600        -0.729415  20195809.375615 
 -2875746.976243  26414691.917389        0.000000 || 18096861.452874  -16149766.630298  -10848710.204643 ||       -0.421185        -0.728604  20196198.727050 
 -2991255.763854  26402307.408790        0.000000 || 18137654.400242  -16160067.898977  -10766018.108422 ||       -0.417768        -0.727803  20196588.147818 
 -3106707.351095  26389418.021176        0.000000 || 18178142.373059  -16170315.334725  -10683120.138896 ||       -0.414347        -0.727010  20196977.633562 
 -3222099.533213  26376024.026290        0.000000 || 18218325.047076  -16180507.470908  -10600017.891511 ||       -0.410922        -0.726226  20197367.179913 
 -3337430.106810  26362125.705484        0.000000 || 18258202.108905  -16190642.840299  -10516712.965458 ||       -0.407495        -0.725452  20197756.782478 
 -3452696.869886  26347723.349711        0.000000 || 18297773.256028  -16200719.975149  -10433206.963634 ||       -0.404065        -0.724686  20198146.436852 
 -3567897.621879  26332817.259518        0.000000 || 18337038.196797  -16210737.407252  -10349501.492619 ||       -0.400631        -0.723929  20198536.138608 
 -3683030.163706  26317407.745041        0.000000 || 18375996.650446  -16220693.668015  -10265598.162638 ||       -0.397195        -0.723181  20198925.883304 
 -3798092.297808  26301495.125993        0.000000 || 18414648.347087  -16230587.288527  -10181498.587531 ||       -0.393755        -0.722441  20199315.666477 
 -3913081.828187  26285079.731657        0.000000 || 18452993.027723  -16240416.799624  -10097204.384726 ||       -0.390313        -0.721709  20199705.483648 
 -4027996.560452  26268161.900881        0.000000 || 18491030.444243  -16250180.731961  -10012717.175201 ||       -0.386868        -0.720986  20200095.330319 
 -4142834.301855  26250741.982065        0.000000 || 18528760.359429  -16259877.616077  -9928038.583456 ||       -0.383420        -0.720271  20200485.201973 
 -4257592.861338  26232820.333156        0.000000 || 18566182.546959  -16269505.982464  -9843170.237484 ||       -0.379969        -0.719565  20200875.094074 
 -4372270.049572  26214397.321639        0.000000 || 18603296.791408  -16279064.361639  -9758113.768733 ||       -0.376515        -0.718866  20201265.002068 
 -4486863.678996  26195473.324525        0.000000 || 18640102.888247  -16288551.284205  -9672870.812078 ||       -0.373058        -0.718175  20201654.921383 
 -4601371.563862  26176048.728345        0.000000 || 18676600.643850  -16297965.280925  -9587443.005791 ||       -0.369599        -0.717492  20202044.847425 
 -4715791.520274  26156123.929140        0.000000 || 18712789.875489  -16307304.882789  -9501831.991504 ||       -0.366137        -0.716817  20202434.775583 
 -4830121.366231  26135699.332453        0.000000 || 18748670.411337  -16316568.621082  -9416039.414183 ||       -0.362673        -0.716150  20202824.701226 
 -4944358.921665  26114775.353314        0.000000 || 18784242.090467  -16325755.027451  -9330066.922092 ||       -0.359205        -0.715490  20203214.619705 
 -5058502.008485  26093352.416239        0.000000 || 18819504.762852  -16334862.633973  -9243916.166761 ||       -0.355736        -0.714837  20203604.526349 
 -5172548.450616  26071430.955210        0.000000 || 18854458.289361  -16343889.973226  -9157588.802958 ||       -0.352263        -0.714192  20203994.416469 
 -5286496.074040  26049011.413674        0.000000 || 18889102.541762  -16352835.578355  -9071086.488652 ||       -0.348789        -0.713555  20204384.285355 
 -5400342.706840  26026094.244526        0.000000 || 18923437.402717  -16361697.983140  -8984410.884985 ||       -0.345311        -0.712924  20204774.128279 
 -5514086.179237  26002679.910105        0.000000 || 18957462.765779  -16370475.722066  -8897563.656234 ||       -0.341832        -0.712301  20205163.940492 
 -5627724.323632  25978768.882174        0.000000 || 18991178.535390  -16379167.330388  -8810546.469788 ||       -0.338350        -0.711684  20205553.717223 
 -5741254.974646  25954361.641921        0.000000 || 19024584.626878  -16387771.344202  -8723360.996108 ||       -0.334865        -0.711075  20205943.453683 
 -5854675.969164  25929458.679937        0.000000 || 19057680.966452  -16396286.300511  -8636008.908695 ||       -0.331378        -0.710472  20206333.145064 
 -5967985.146371  25904060.496212        0.000000 || 19090467.491198  -16404710.737295  -8548491.884063 ||       -0.327889        -0.709877  20206722.786534 
 -6081180.347796  25878167.600120        0.000000 || 19122944.149075  -16413043.193575  -8460811.601704 ||       -0.324398        -0.709288  20207112.373242 
 -6194259.417348  25851780.510411        0.000000 || 19155110.898908  -16421282.209487  -8372969.744051 ||       -0.320904        -0.708705  20207501.900318 
 -6307220.201365  25824899.755196        0.000000 || 19186967.710385  -16429426.326345  -8284967.996452 ||       -0.317409        -0.708129  20207891.362868 
 -6420060.548643  25797525.871934        0.000000 || 19218514.564047  -16437474.086710  -8196808.047137 ||       -0.313911        -0.707559  20208280.755981 
 -6532778.310485  25769659.407427        0.000000 || 19249751.451284  -16445424.034459  -8108491.587180 ||       -0.310411        -0.706996  20208670.074722 
 -6645371.340738  25741300.917798        0.000000 || 19280678.374328  -16453274.714849  -8020020.310472 ||       -0.306908        -0.706439  20209059.314137 
 -6757837.495835  25712450.968488        0.000000 || 19311295.346245  -16461024.674592  -7931395.913686 ||       -0.303404        -0.705888  20209448.469248 
 -6870174.634830  25683110.134238        0.000000 || 19341602.390926  -16468672.461913  -7842620.096243 ||       -0.299898        -0.705343  20209837.535060 
 -6982380.619444  25653278.999075        0.000000 || 19371599.543080  -16476216.626627  -7753694.560282 ||       -0.296389        -0.704804  20210226.506554 
 -7094453.314102  25622958.156305        0.000000 || 19401286.848225  -16483655.720199  -7664621.010627 ||       -0.292879        -0.704271  20210615.378690 
 -7206390.585973  25592148.208494        0.000000 || 19430664.362676  -16490988.295816  -7575401.154753 ||       -0.289367        -0.703744  20211004.146408 
 -7318190.305011  25560849.767461        0.000000 || 19459732.153540  -16498212.908451  -7486036.702752 ||       -0.285853        -0.703223  20211392.804623 
 -7429850.343994  25529063.454257        0.000000 || 19488490.298703  -16505328.114933  -7396529.367303 ||       -0.282337        -0.702707  20211781.348233 
 -7541368.578563  25496789.899157        0.000000 || 19516938.886817  -16512332.474013  -7306880.863638 ||       -0.278819        -0.702197  20212169.772112 
 -7652742.887262  25464029.741646        0.000000 || 19545078.017293  -16519224.546431  -7217092.909508 ||       -0.275299        -0.701693  20212558.071111 
 -7763971.151578  25430783.630403        0.000000 || 19572907.800289  -16526002.894984  -7127167.225150 ||       -0.271777        -0.701193  20212946.240062 
 -7875051.255982  25397052.223287        0.000000 || 19600428.356695  -16532666.084590  -7037105.533257 ||       -0.268254        -0.700700  20213334.273774 
 -7985981.087964  25362836.187324        0.000000 || 19627639.818122  -16539212.682360  -6946909.558942 ||       -0.264729        -0.700211  20213722.167033 
 -8096758.538078  25328136.198695        0.000000 || 19654542.326891  -16545641.257658  -6856581.029705 ||       -0.261202        -0.699728  20214109.914605 
 -8207381.499976  25292952.942715        0.000000 || 19681136.036017  -16551950.382175  -6766121.675401 ||       -0.257674        -0.699249  20214497.511233 
 -8317847.870450  25257287.113824        0.000000 || 19707421.109198  -16558138.629989  -6675533.228208 ||       -0.254144        -0.698776  20214884.951637 
 -8428155.549471  25221139.415570        0.000000 || 19733397.720795  -16564204.577636  -6584817.422590 ||       -0.250612        -0.698308  20215272.230517 
 -8538302.440228  25184510.560594        0.000000 || 19759066.055826  -16570146.804173  -6493975.995267 ||       -0.247079        -0.697844  20215659.342548 
 -8648286.449165  25147401.270614        0.000000 || 19784426.309943  -16575963.891249  -6403010.685182 ||       -0.243544        -0.697386  20216046.282387 
 -8758105.486025  25109812.276413        0.000000 || 19809478.689421  -16581654.423164  -6311923.233465 ||       -0.240007        -0.696932  20216433.044663 
 -8867757.463881  25071744.317819        0.000000 || 19834223.411142  -16587216.986942  -6220715.383404 ||       -0.236469        -0.696482  20216819.623989 
 -8977240.299182  25033198.143692        0.000000 || 19858660.702574  -16592650.172393  -6129388.880407 ||       -0.232930        -0.696038  20217206.014951 
 -9086551.911788  24994174.511908        0.000000 || 19882790.801760  -16597952.572179  -6037945.471971 ||       -0.229389        -0.695597  20217592.212114 
 -9195690.225009  24954674.189342        0.000000 || 19906613.957297  -16603122.781882  -5946386.907649 ||       -0.225847        -0.695161  20217978.210021 
 -9304653.165644  24914697.951853        0.000000 || 19930130.428319  -16608159.400067  -5854714.939016 ||       -0.222303        -0.694730  20218364.003192 
 -9413438.664019  24874246.584266        0.000000 || 19953340.484481  -16613061.028349  -5762931.319635 ||       -0.218758        -0.694303  20218749.586125 
 -9522044.654027  24833320.880358        0.000000 || 19976244.405938  -16617826.271456  -5671037.805027 ||       -0.215211        -0.693880  20219134.953295 
 -9630469.073162  24791921.642838        0.000000 || 19998842.483323  -16622453.737299  -5579036.152630 ||       -0.211663        -0.693461  20219520.099156 
 -9738709.862563  24750049.683335        0.000000 || 20021135.017737  -16626942.037030  -5486928.121775 ||       -0.208114        -0.693046  20219905.018136 
 -9846764.967048  24707705.822375        0.000000 || 20043122.320718  -16631289.785115  -5394715.473646 ||       -0.204564        -0.692635  20220289.704644 
 -9954632.335152  24664890.889369        0.000000 || 20064804.714229  -16635495.599391  -5302399.971246 ||       -0.201012        -0.692228  20220674.153065 
 -10062309.919167  24621605.722594        0.000000 || 20086182.530632  -16639558.101135  -5209983.379370 ||       -0.197460        -0.691825  20221058.357761 
 -10169795.675181  24577851.169173        0.000000 || 20107256.112670  -16643475.915130  -5117467.464565 ||       -0.193905        -0.691425  20221442.313071 
 -10277087.563109  24533628.085061        0.000000 || 20128025.813445  -16647247.669724  -5024853.995098 ||       -0.190350        -0.691029  20221826.013314 
 -10384183.546740  24488937.335028        0.000000 || 20148491.996394  -16650871.996900  -4932144.740924 ||       -0.186794        -0.690637  20222209.452782 
 -10491081.593767  24443779.792635        0.000000 || 20168655.035267  -16654347.532333  -4839341.473652 ||       -0.183236        -0.690249  20222592.625749 
 -10597779.675830  24398156.340224        0.000000 || 20188515.314106  -16657672.915463  -4746445.966509 ||       -0.179678        -0.689863  20222975.526462 
 -10704275.768548  24352067.868892        0.000000 || 20208073.227221  -16660846.789550  -4653459.994309 ||       -0.176118        -0.689482  20223358.149149 
 -10810567.851561  24305515.278479        0.000000 || 20227329.179165  -16663867.801744  -4560385.333420 ||       -0.172558        -0.689103  20223740.488013 
 -10916653.908565  24258499.477546        0.000000 || 20246283.584710  -16666734.603144  -4467223.761726 ||       -0.168996        -0.688728  20224122.537235 
 -11022531.927350  24211021.383357        0.000000 || 20264936.868826  -16669445.848862  -4373977.058599 ||       -0.165433        -0.688356  20224504.290975 
 -11128199.899836  24163081.921860        0.000000 || 20283289.466649  -16672000.198091  -4280647.004859 ||       -0.161870        -0.687987  20224885.743367 
 -11233655.822111  24114682.027669        0.000000 || 20301341.823462  -16674396.314159  -4187235.382746 ||       -0.158305        -0.687621  20225266.888524 
 -11338897.694468  24065822.644044        0.000000 || 20319094.394668  -16676632.864600  -4093743.975883 ||       -0.154739        -0.687258  20225647.720539 
 -11443923.521441  24016504.722870        0.000000 || 20336547.645760  -16678708.521212  -4000174.569244 ||       -0.151173        -0.686898  20226028.233477 
 -11548731.311842  23966729.224643        0.000000 || 20353702.052298  -16680621.960120  -3906528.949119 ||       -0.147606        -0.686541  20226408.421386 
 -11653319.078798  23916497.118444        0.000000 || 20370558.099882  -16682371.861840  -3812808.903079 ||       -0.144038        -0.686187  20226788.278287 
 -11757684.839786  23865809.381922        0.000000 || 20387116.284123  -16683956.911338  -3719016.219946 ||       -0.140469        -0.685835  20227167.798181 
 -11861826.616671  23814667.001275        0.000000 || 20403377.110614  -16685375.798094  -3625152.689755 ||       -0.136899        -0.685486  20227546.975047 
 -11965742.435744  23763070.971229        0.000000 || 20419341.094905  -16686627.216164  -3531220.103725 ||       -0.133329        -0.685139  20227925.802838 
 -12069430.327753  23711022.295019        0.000000 || 20435008.762472  -16687709.864239  -3437220.254218 ||       -0.129757        -0.684795  20228304.275489 
 -12172888.327944  23658521.984364        0.000000 || 20450380.648689  -16688622.445710  -3343154.934714 ||       -0.126185        -0.684454  20228682.386910 
 -12276114.476096  23605571.059454        0.000000 || 20465457.298798  -16689363.668723  -3249025.939770 ||       -0.122613        -0.684115  20229060.130989 
 -12379106.816554  23552170.548922        0.000000 || 20480239.267878  -16689932.246247  -3154835.064989 ||       -0.119039        -0.683778  20229437.501592 
 -12481863.398270  23498321.489828        0.000000 || 20494727.120817  -16690326.896131  -3060584.106986 ||       -0.115465        -0.683443  20229814.492562 
 -12584382.274833  23444024.927638        0.000000 || 20508921.432280  -16690546.341161  -2966274.863356 ||       -0.111891        -0.683110  20230191.097721 
 -12686661.504510  23389281.916200        0.000000 || 20522822.786677  -16690589.309129  -2871909.132635 ||       -0.108315        -0.682780  20230567.310868 
 -12788699.150277  23334093.517722        0.000000 || 20536431.778134  -16690454.532884  -2777488.714272 ||       -0.104739        -0.682452  20230943.125781 
 -12890493.279859  23278460.802758        0.000000 || 20549749.010458  -16690140.750397  -2683015.408591 ||       -0.101163        -0.682125  20231318.536213 
 -12992041.965761  23222384.850176        0.000000 || 20562775.097108  -16689646.704819  -2588491.016759 ||       -0.097586        -0.681801  20231693.535899 
 -13093343.285305  23165866.747146        0.000000 || 20575510.661160  -16688971.144541  -2493917.340753 ||       -0.094009        -0.681478  20232068.118549 
 -13194395.320666  23108907.589110        0.000000 || 20587956.335274  -16688112.823252  -2399296.183321 ||       -0.090431        -0.681157  20232442.277852 
 -13295196.158907  23051508.479768        0.000000 || 20600112.761662  -16687070.500000  -2304629.347957 ||       -0.086852        -0.680838  20232816.007476 
 -13395743.892012  22993670.531048        0.000000 || 20611980.592052  -16685842.939248  -2209918.638858 ||       -0.083273        -0.680520  20233189.301066 
 -13496036.616923  22935394.863089        0.000000 || 20623560.487656  -16684428.910934  -2115165.860897 ||       -0.079694        -0.680204  20233562.152246 
 -13596072.435574  22876682.604217        0.000000 || 20634853.119136  -16682827.190529  -2020372.819583 ||       -0.076115        -0.679889  20233934.554618 
 -13695849.454926  22817534.890923        0.000000 || 20645859.166564  -16681036.559095  -1925541.321035 ||       -0.072534        -0.679576  20234306.501763 
 -13795365.786998  22757952.867840        0.000000 || 20656579.319393  -16679055.803344  -1830673.171938 ||       -0.068954        -0.679264  20234677.987241 
 -13894619.548910  22697937.687719        0.000000 || 20667014.276417  -16676883.715694  -1735770.179519 ||       -0.065373        -0.678954  20235049.004588 
 -13993608.862906  22637490.511408        0.000000 || 20677164.745737  -16674519.094325  -1640834.151507 ||       -0.061792        -0.678645  20235419.547322 
 -14092331.856399  22576612.507827        0.000000 || 20687031.444721  -16671960.743239  -1545866.896101 ||       -0.058211        -0.678336  20235789.608938 
 -14190786.661997  22515304.853946        0.000000 || 20696615.099974  -16669207.472315  -1450870.221934 ||       -0.054629        -0.678029  20236159.182910 
 -14288971.417541  22453568.734764        0.000000 || 20705916.447293  -16666258.097368  -1355845.938045 ||       -0.051047        -0.677724  20236528.262692 
 -14386884.266139  22391405.343278        0.000000 || 20714936.231635  -16663111.440200  -1260795.853838 ||       -0.047465        -0.677419  20236896.841715 
 -14484523.356198  22328815.880469        0.000000 || 20723675.207076  -16659766.328662  -1165721.779053 ||       -0.043883        -0.677115  20237264.913391 
 -14581886.841460  22265801.555270        0.000000 || 20732134.136773  -16656221.596707  -1070625.523729 ||       -0.040301        -0.676811  20237632.471111 
 -14678972.881031  22202363.584548        0.000000 || 20740313.792926  -16652476.084445   -975508.898172 ||       -0.036718        -0.676509  20237999.508245 
 -14775779.639421  22138503.193075        0.000000 || 20748214.956741  -16648528.638200   -880373.712922 ||       -0.033135        -0.676207  20238366.018142 
 -14872305.286572  22074221.613508        0.000000 || 20755838.418384  -16644378.110563   -785221.778718 ||       -0.029553        -0.675906  20238731.994131 
 -14968547.997894  22009520.086362        0.000000 || 20763184.976949  -16640023.360449   -690054.906460 ||       -0.025970        -0.675606  20239097.429521 
 -15064505.954299  21944399.859988        0.000000 || 20770255.440413  -16635463.253151   -594874.907185 ||       -0.022387        -0.675306  20239462.317601 
 -15160177.342228  21878862.190544        0.000000 || 20777050.625595  -16630696.660391   -499683.592024 ||       -0.018804        -0.675007  20239826.651640 
 -15255560.353693  21812908.341976        0.000000 || 20783571.358120  -16625722.460379   -404482.772172 ||       -0.015221        -0.674708  20240190.424885 
 -15350653.186302  21746539.585987        0.000000 || 20789818.472371  -16620539.537864   -309274.258854 ||       -0.011638        -0.674409  20240553.630565 
 -15445454.043296  21679757.202020        0.000000 || 20795792.811453  -16615146.784189   -214059.863292 ||       -0.008055        -0.674111  20240916.261889 
 -15539961.133581  21612562.477223        0.000000 || 20801495.227150  -16609543.097339   -118841.396669 ||       -0.004472        -0.673812  20241278.312048 
 -15634172.671760  21544956.706431        0.000000 || 20806926.579879  -16603727.382003    -23620.670096 ||       -0.000889        -0.673514  20241639.774209 
 -15728086.878162  21476941.192139        0.000000 || 20812087.738651  -16597698.549616     71600.505419 ||        0.002694        -0.673216  20242000.641525 
 -15821701.978882  21408517.244475        0.000000 || 20816979.581028  -16591455.518422    166820.319009 ||        0.006277        -0.672918  20242360.907127 
 -15915016.205805  21339686.181176        0.000000 || 20821602.993077  -16584997.213518    262036.959979 ||        0.009859        -0.672620  20242720.564126 
 -16008027.796644  21270449.327560        0.000000 || 20825958.869331  -16578322.566907    357248.617841 ||        0.013442        -0.672322  20243079.605616 
 -16100734.994967  21200808.016503        0.000000 || 20830048.112737  -16571430.517554    452453.482345 ||        0.017024        -0.672024  20243438.024672 
 -16193136.050234  21130763.588410        0.000000 || 20833871.634622  -16564320.011433    547649.743519 ||        0.020606        -0.671726  20243795.814349 
 -16285229.217823  21060317.391191        0.000000 || 20837430.354639  -16556990.001578    642835.591693 ||        0.024188        -0.671427  20244152.967685 
 -16377012.759067  20989470.780236        0.000000 || 20840725.200729  -16549439.448137    738009.217544 ||        0.027769        -0.671128  20244509.477700 
 -16468484.941281  20918225.118382        0.000000 || 20843757.109069  -16541667.318416    833168.812118 ||        0.031350        -0.670828  20244865.337394 
 -16559644.037797  20846581.775895        0.000000 || 20846527.024034  -16533672.586936    928312.566874 ||        0.034931        -0.670528  20245220.539749 
 -16650488.327990  20774542.130437        0.000000 || 20849035.898144  -16525454.235478   1023438.673710 ||        0.038512        -0.670227  20245575.077732 
 -16741016.097315  20702107.567043        0.000000 || 20851284.692021  -16517011.253135   1118545.325002 ||        0.042092        -0.669926  20245928.944289 
 -16831225.637335  20629279.478092        0.000000 || 20853274.374343  -16508342.636359   1213630.713632 ||        0.045672        -0.669624  20246282.132350 
 -16921115.245752  20556059.263281        0.000000 || 20855005.921796  -16499447.389010   1308693.033028 ||        0.049252        -0.669322  20246634.634827 
 -17010683.226437  20482448.329595        0.000000 || 20856480.319025  -16490324.522406   1403730.477191 ||        0.052831        -0.669018  20246986.444615 
 -17099927.889462  20408448.091285        0.000000 || 20857698.558589  -16480973.055371   1498741.240734 ||        0.056410        -0.668714  20247337.554593 
 -17188847.551130  20334059.969836        0.000000 || 20858661.640913  -16471392.014280   1593723.518911 ||        0.059988        -0.668408  20247687.957622 
 -17277440.534005  20259285.393942        0.000000 || 20859370.574238  -16461580.433110   1688675.507655 ||        0.063566        -0.668102  20248037.646546 
 -17365705.166942  20184125.799476        0.000000 || 20859826.374573  -16451537.353486   1783595.403608 ||        0.067143        -0.667795  20248386.614194 
 -17453639.785118  20108582.629466        0.000000 || 20860030.065648  -16441261.824727   1878481.404153 ||        0.070720        -0.667486  20248734.853376 
 -17541242.730061  20032657.334061        0.000000 || 20859982.678862  -16430752.903892   1973331.707454 ||        0.074297        -0.667176  20249082.356888 
 -17628512.349680  19956351.370510        0.000000 || 20859685.253235  -16420009.655830   2068144.512483 ||        0.077872        -0.666865  20249429.117510 
 -17715446.998297  19879666.203128        0.000000 || 20859138.835358  -16409031.153221   2162918.019054 ||        0.081448        -0.666553  20249775.128006 
 -17802045.036672  19802603.303274        0.000000 || 20858344.479345  -16397816.476625   2257650.427860 ||        0.085022        -0.666239  20250120.381124 
 -17888304.832036  19725164.149314        0.000000 || 20857303.246779  -16386364.714526   2352339.940503 ||        0.088596        -0.665924  20250464.869595 
 -17974224.758120  19647350.226600        0.000000 || 20856016.206662  -16374674.963376   2446984.759528 ||        0.092169        -0.665608  20250808.586139 
 -18059803.195184  19569163.027440        0.000000 || 20854484.435367  -16362746.327642   2541583.088459 ||        0.095742        -0.665289  20251151.523457 
 -18145038.530043  19490604.051065        0.000000 || 20852709.016585  -16350577.919848   2636133.131825 ||        0.099314        -0.664969  20251493.674237 
 -18229929.156101  19411674.803604        0.000000 || 20850691.041273  -16338168.860620   2730633.095203 ||        0.102885        -0.664648  20251835.031152 
 -18314473.473378  19332376.798057        0.000000 || 20848431.607600  -16325518.278729   2825081.185243 ||        0.106456        -0.664324  20252175.586860 
 -18398669.888536  19252711.554258        0.000000 || 20845931.820901  -16312625.311135   2919475.609705 ||        0.110025        -0.663999  20252515.334008 
 -18482516.814912  19172680.598856        0.000000 || 20843192.793620  -16299489.103029   3013814.577490 ||        0.113594        -0.663672  20252854.265223 
 -18566012.672543  19092285.465278        0.000000 || 20840215.645258  -16286108.807876   3108096.298677 ||        0.117162        -0.663343  20253192.373125 
 -18649155.888195  19011527.693700        0.000000 || 20837001.502320  -16272483.587457   3202318.984550 ||        0.120730        -0.663012  20253529.650315 
 -18731944.895394  18930408.831025        0.000000 || 20833551.498263  -16258612.611912   3296480.847637 ||        0.124296        -0.662678  20253866.089383 
 -18814378.134449  18848930.430844        0.000000 || 20829866.773442  -16244495.059780   3390580.101739 ||        0.127862        -0.662343  20254201.682907 
 -18896454.052485  18767094.053411        0.000000 || 20825948.475054  -16230130.118039   3484614.961964 ||        0.131426        -0.662005  20254536.423450 
 -18978171.103467  18684901.265612        0.000000 || 20821797.757090  -16215516.982152   3578583.644760 ||        0.134990        -0.661665  20254870.303563 
 -19059527.748231  18602353.640937        0.000000 || 20817415.780273  -16200654.856100   3672484.367950 ||        0.138553        -0.661322  20255203.315785 
 -19140522.454508  18519452.759446        0.000000 || 20812803.712008  -16185542.952429   3766315.350760 ||        0.142114        -0.660978  20255535.452642 
 -19221153.696953  18436200.207744        0.000000 || 20807962.726328  -16170180.492285   3860074.813856 ||        0.145675        -0.660630  20255866.706649 
 -19301419.957175  18352597.578944        0.000000 || 20802894.003835  -16154566.705457   3953760.979374 ||        0.149235        -0.660280  20256197.070309 
 -19381319.723759  18268646.472643        0.000000 || 20797598.731650  -16138700.830411   4047372.070956 ||        0.152794        -0.659927  20256526.536113 
 -19460851.492296  18184348.494889        0.000000 || 20792078.103350  -16122582.114335   4140906.313780 ||        0.156352        -0.659572  20256855.096540 
 -19540013.765412  18099705.258149        0.000000 || 20786333.318921  -16106209.813173   4234361.934592 ||        0.159908        -0.659214  20257182.744060 
 -19618805.052789  18014718.381279        0.000000 || 20780365.584694  -16089583.191663   4327737.161741 ||        0.163464        -0.658853  20257509.471132 
 -19697223.871196  17929389.489494        0.000000 || 20774176.113294  -16072701.523378   4421030.225211 ||        0.167018        -0.658489  20257835.270201 
 -19775268.744514  17843720.214339        0.000000 || 20767766.123583  -16055564.090757   4514239.356652 ||        0.170571        -0.658122  20258160.133707 
 -19852938.203765  17757712.193652        0.000000 || 20761136.840598  -16038170.185149   4607362.789415 ||        0.174123        -0.657752  20258484.054075 
 -19930230.787133  17671367.071538        0.000000 || 20754289.495500  -16020519.106844   4700398.758582 ||        0.177674        -0.657379  20258807.023724 
 -20007145.039995  17584686.498338        0.000000 || 20747225.325514  -16002610.165114   4793345.500999 ||        0.181223        -0.657003  20259129.035061 
 -20083679.514943  17497672.130592        0.000000 || 20739945.573874  -15984442.678242   4886201.255309 ||        0.184772        -0.656623  20259450.080485 
 -20159832.771812  17410325.631015        0.000000 || 20732451.489759  -15966015.973564   4978964.261985 ||        0.188319        -0.656240  20259770.152386 
 -20235603.377708  17322648.668460        0.000000 || 20724744.328242  -15947329.387499   5071632.763361 ||        0.191864        -0.655854  20260089.243143 
 -20310989.907028  17234642.917888        0.000000 || 20716825.350229  -15928382.265589   5164205.003664 ||        0.195409        -0.655464  20260407.345131 
 -20385990.941489  17146310.060336        0.000000 || 20708695.822399  -15909173.962525   5256679.229048 ||        0.198952        -0.655071  20260724.450711 
 -20460605.070154  17057651.782888        0.000000 || 20700357.017149  -15889703.842191   5349053.687625 ||        0.202493        -0.654674  20261040.552241 
 -20534830.889453  16968669.778637        0.000000 || 20691810.212530  -15869971.277688   5441326.629495 ||        0.206034        -0.654273  20261355.642070 
 -20608667.003213  16879365.746660        0.000000 || 20683056.692194  -15849975.651374   5533496.306784 ||        0.209572        -0.653868  20261669.712536 
 -20682112.022680  16789741.391979        0.000000 || 20674097.745330  -15829716.354892   5625560.973668 ||        0.213110        -0.653460  20261982.755976 
 -20755164.566544  16699798.425534        0.000000 || 20664934.666606  -15809192.789204   5717518.886414 ||        0.216645        -0.653048  20262294.764715 
 -20827823.260963  16609538.564149        0.000000 || 20655568.756109  -15788404.364626   5809368.303402 ||        0.220180        -0.652632  20262605.731073 
 -20900086.739590  16518963.530497        0.000000 || 20646001.319288  -15767350.500853   5901107.485167 ||        0.223713        -0.652212  20262915.647365 
 -20971953.643593  16428075.053073        0.000000 || 20636233.666887  -15746030.626996   5992734.694423 ||        0.227244        -0.651787  20263224.505899 
 -21043422.621684  16336874.866154        0.000000 || 20626267.114893  -15724444.181609   6084248.196098 ||        0.230773        -0.651359  20263532.298976 
 -21114492.330139  16245364.709774        0.000000 || 20616102.984469  -15702590.612721   6175646.257367 ||        0.234301        -0.650926  20263839.018892 
 -21185161.432824  16153546.329686        0.000000 || 20605742.601896  -15680469.377866   6266927.147680 ||        0.237828        -0.650489  20264144.657941 
 -21255428.601219  16061421.477329        0.000000 || 20595187.298513  -15658079.944112   6358089.138798 ||        0.241352        -0.650047  20264449.208407 
 -21325292.514440  15968991.909799        0.000000 || 20584438.410653  -15635421.788090   6449130.504822 ||        0.244875        -0.649601  20264752.662573 
 -21394751.859263  15876259.389812        0.000000 || 20573497.279583  -15612494.396024   6540049.522224 ||        0.248397        -0.649150  20265055.012716 
 -21463805.330149  15783225.685672        0.000000 || 20562365.251445  -15589297.263758   6630844.469880 ||        0.251916        -0.648695  20265356.251110 
 -21532451.629263  15689892.571239        0.000000 || 20551043.677190  -15565829.896784   6721513.629103 ||        0.255434        -0.648235  20265656.370024 
 -21600689.466503  15596261.825894        0.000000 || 20539533.912519  -15542091.810269   6812055.283669 ||        0.258950        -0.647770  20265955.361726 
 -21668517.559517  15502335.234505        0.000000 || 20527837.317821  -15518082.529086   6902467.719854 ||        0.262464        -0.647300  20266253.218477 
 -21735934.633729  15408114.587397        0.000000 || 20515955.258108  -15493801.587834   6992749.226463 ||        0.265976        -0.646826  20266549.932539 
 -21802939.422362  15313601.680312        0.000000 || 20503889.102957  -15469248.530872   7082898.094861 ||        0.269486        -0.646346  20266845.496169 
 -21869530.666458  15218798.314382        0.000000 || 20491640.226443  -15444422.912337   7172912.619005 ||        0.272995        -0.645861  20267139.901623 
 -21935707.114902  15123706.296092        0.000000 || 20479210.007079  -15419324.296177   7262791.095473 ||        0.276501        -0.645371  20267433.141155 
